,dia_semana,horario,mortos,causa_acidente,municipio,tipo_veiculo
17261,quinta-feira,16:20:00,0,Desrespeitar a preferência no cruzamento,BALNEARIO CAMBORIU,Motoneta
17262,quinta-feira,17:15:00,0,Reação tardia ou ineficiente do condutor,RIO NEGRINHO,Automóvel
17263,quinta-feira,17:15:00,0,Reação tardia ou ineficiente do condutor,RIO NEGRINHO,Automóvel
17264,quinta-feira,20:20:00,0,Ausência de reação do condutor,PORTO BELO,Motocicleta
17265,quinta-feira,20:20:00,0,Ausência de reação do condutor,PORTO BELO,Motocicleta
17266,quinta-feira,19:10:00,0,Ausência de reação do condutor,IMBITUBA,Caminhonete
17267,sexta-feira,07:15:00,0,Ultrapassagem Indevida,PALHOCA,Ônibus
17268,sexta-feira,07:15:00,0,Ultrapassagem Indevida,PALHOCA,Motocicleta
17269,sexta-feira,09:10:00,0,Retorno proibido,BLUMENAU,Automóvel
17270,sexta-feira,09:10:00,0,Retorno proibido,BLUMENAU,Motocicleta
17271,sexta-feira,09:15:00,0,Reação tardia ou ineficiente do condutor,ARAQUARI,Caminhonete
17272,sexta-feira,09:15:00,0,Reação tardia ou ineficiente do condutor,ARAQUARI,Automóvel
17273,sexta-feira,09:00:00,0,Ausência de reação do condutor,TUBARAO,Utilitário
17274,sexta-feira,09:00:00,0,Ausência de reação do condutor,TUBARAO,Motocicleta
17275,sexta-feira,10:40:00,0,Reação tardia ou ineficiente do condutor,BALNEARIO CAMBORIU,Utilitário
17276,sexta-feira,10:40:00,0,Reação tardia ou ineficiente do condutor,BALNEARIO CAMBORIU,Utilitário
17277,sexta-feira,11:32:00,0,Conversão proibida,BALNEARIO PICARRAS,Motocicleta
17278,sexta-feira,11:05:00,0,Acessar a via sem observar a presença dos outros veículos,CORREIA PINTO,Automóvel
17279,sexta-feira,12:15:00,0,Acumulo de água sobre o pavimento,BOM RETIRO,Caminhonete
17280,sexta-feira,13:10:00,0,Ultrapassagem Indevida,RANCHO QUEIMADO,Automóvel
17281,sexta-feira,13:10:00,0,Ultrapassagem Indevida,RANCHO QUEIMADO,Automóvel
17282,sexta-feira,13:10:00,0,Ultrapassagem Indevida,RANCHO QUEIMADO,Automóvel
17283,sexta-feira,13:10:00,0,Ultrapassagem Indevida,RANCHO QUEIMADO,
17284,sexta-feira,14:41:00,0,Velocidade Incompatível,BIGUACU,Automóvel
17285,sexta-feira,14:41:00,0,Velocidade Incompatível,BIGUACU,Automóvel
17286,sexta-feira,19:20:00,0,Acumulo de areia ou detritos sobre o pavimento,PALHOCA,Motocicleta
17287,sexta-feira,19:20:00,0,Acumulo de areia ou detritos sobre o pavimento,PALHOCA,Motocicleta
17288,sábado,16:00:00,0,Pista Escorregadia,TUBARAO,Automóvel
17289,sexta-feira,19:15:00,0,Velocidade Incompatível,GAROPABA,Automóvel
17290,sexta-feira,20:20:00,0,Ausência de reação do condutor,BIGUACU,Automóvel
17291,sexta-feira,20:20:00,0,Ausência de reação do condutor,BIGUACU,
17292,sexta-feira,18:05:00,0,Reação tardia ou ineficiente do condutor,SAO BENTO DO SUL,Automóvel
17293,sexta-feira,18:05:00,0,Reação tardia ou ineficiente do condutor,SAO BENTO DO SUL,Automóvel
17294,sexta-feira,19:30:00,0,Objeto estático sobre o leito carroçável,PONTE ALTA,Automóvel
17295,sexta-feira,19:30:00,0,Objeto estático sobre o leito carroçável,PONTE ALTA,Automóvel
17296,sexta-feira,19:30:00,0,Objeto estático sobre o leito carroçável,PONTE ALTA,Automóvel
17297,sábado,03:00:00,0,Ingestão de álcool pelo condutor,PINHALZINHO,Automóvel
17298,sábado,03:00:00,0,Ingestão de álcool pelo condutor,PINHALZINHO,Automóvel
17299,sábado,03:00:00,0,Ingestão de álcool pelo condutor,PINHALZINHO,Automóvel
17300,sábado,03:00:00,0,Ingestão de álcool pelo condutor,PINHALZINHO,Automóvel
17301,sábado,03:00:00,0,Ingestão de álcool pelo condutor,PINHALZINHO,Automóvel
17302,sábado,04:20:00,0,Ingestão de álcool pelo condutor,ITAPEMA,Motocicleta
17303,sábado,04:20:00,0,Ingestão de álcool pelo condutor,ITAPEMA,Camioneta
17304,sábado,06:00:00,0,Ingestão de álcool pelo condutor,CHAPECO,Automóvel
17305,sábado,06:00:00,0,Ingestão de álcool pelo condutor,CHAPECO,Automóvel
17306,sábado,06:00:00,0,Ingestão de álcool pelo condutor,CHAPECO,Automóvel
17307,sexta-feira,22:15:00,0,Acessar a via sem observar a presença dos outros veículos,BLUMENAU,Automóvel
17308,sexta-feira,22:15:00,0,Acessar a via sem observar a presença dos outros veículos,BLUMENAU,Motoneta
17309,sexta-feira,22:15:00,0,Acessar a via sem observar a presença dos outros veículos,BLUMENAU,Motoneta
17310,sábado,09:20:00,0,Acessar a via sem observar a presença dos outros veículos,BIGUACU,Automóvel
17311,sábado,09:20:00,0,Acessar a via sem observar a presença dos outros veículos,BIGUACU,Motocicleta
17312,terça-feira,04:50:00,0,Sinalização mal posicionada,BLUMENAU,Motocicleta
17313,sábado,14:00:00,0,Acessar a via sem observar a presença dos outros veículos,BIGUACU,Caminhonete
17314,sábado,14:00:00,0,Acessar a via sem observar a presença dos outros veículos,BIGUACU,Motocicleta
17315,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17316,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17317,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17318,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17319,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17320,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17321,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17322,sábado,13:05:00,0,Acumulo de óleo sobre o pavimento,FAXINAL DOS GUEDES,Automóvel
17323,sábado,16:05:00,0,Ultrapassagem Indevida,SANTO AMARO DA IMPERATRIZ,Automóvel
17324,sábado,16:05:00,0,Ultrapassagem Indevida,SANTO AMARO DA IMPERATRIZ,Motocicleta
17325,sábado,16:05:00,0,Ultrapassagem Indevida,SANTO AMARO DA IMPERATRIZ,
17326,sábado,16:05:00,0,Ultrapassagem Indevida,SANTO AMARO DA IMPERATRIZ,
17327,sábado,17:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Caminhonete
17328,sábado,17:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17329,sábado,17:00:00,0,Reação tardia ou ineficiente do condutor,SAO JOSE,Automóvel
17330,sábado,16:40:00,0,Ausência de reação do condutor,PONTE ALTA,Motocicleta
17331,sábado,20:00:00,0,Ingestão de álcool pelo condutor,SOMBRIO,Automóvel
17332,sábado,20:00:00,0,Ingestão de álcool pelo condutor,SOMBRIO,Caminhonete
17333,sábado,20:40:00,0,Acessar a via sem observar a presença dos outros veículos,IMBITUBA,Automóvel
17334,sábado,20:40:00,0,Acessar a via sem observar a presença dos outros veículos,IMBITUBA,Automóvel
